Date,inventory_id,campaign_id,adgroup_id,adgroup_name,video_id,UU,cost_usd,impressions,clicks,installs,registrations,d1_retention,d7_retention
,,,,,,,389.625305,872983,146593,1735,925,646,386
05/19/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,42703,28.049745,96824,1675,127,57,43,22
07/14/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,107597,45.405214,237167,2881,218,111,81,49
07/02/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,107020,39.210247,215479,2484,169,77,51,28
05/08/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,41785,10.977452,73389,797,62,30,29,14
06/04/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,617909,507.657148,1539092,32302,2621,1290,937,522
06/09/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,112124,46.862264,258681,3014,224,117,74,45
07/13/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,102718,37.392357,214492,2470,196,95,72,31
07/27/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,198773,65.460035,431899,4366,283,132,100,53
05/18/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,45022,29.662275,104639,1861,146,66,41,23
06/03/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,363773,291.165956,835679,18689,1451,721,525,285
05/02/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,94713,40.096152,216121,2526,187,86,63,33
05/17/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,33177,18.852753,73638,1176,91,47,37,22
08/01/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,117785,31.867353,203260,2164,138,65,41,29
06/13/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,111843,57.120358,239979,3389,306,155,104,56
07/16/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,59518,21.045051,117611,1322,95,44,32,17
07/09/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,203204,78.745464,455201,5037,394,197,131,79
07/10/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,250336,89.242901,566127,5898,388,183,125,71
05/01/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,93445,48.312566,217560,2725,159,82,59,35
06/08/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,104629,46.426684,234533,3126,194,98,65,33
05/22/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,19664,11.840733,55742,782,62,30,21,12
07/01/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,29098,10.760361,60520,694,57,33,29,15
06/07/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,99870,42.558563,226306,2844,195,99,68,31
05/23/22,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,74541,42.029244,173638,2720,234,104,72,39
07/07/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,105990,46.144694,218773,2852,216,106,71,48
07/08/2022,OTHER,13618415748,1.25E+11,gmob:ron:122830027583,,143743,55.640368,324502,3602,245,110,70,37
